age,gender,race,marital_status,occupation
39,*,*,*, Adm-clerical
50,*,*,*, Exec-managerial
38,*,*,*, Handlers-cleaners
53,*,*,*, Handlers-cleaners
28,*,*,*, Prof-specialty
37,*,*,*, Exec-managerial
49,*,*,*, Other-service
52,*,*,*, Exec-managerial
31,*,*,*, Prof-specialty
42,*,*,*, Exec-managerial
37,*,*,*, Exec-managerial
30,*,*,*, Prof-specialty
23,*,*,*, Adm-clerical
32,*,*,*, Sales
40,*,*,*, Craft-repair
34,*,*,*, Transport-moving
25,*,*,*, Farming-fishing
32,*,*,*, Machine-op-inspct
38,*,*,*, Sales
43,*,*,*, Exec-managerial
40,*,*,*, Prof-specialty
54,*,*,*, Other-service
35,*,*,*, Farming-fishing
43,*,*,*, Transport-moving
59,*,*,*, Tech-support
56,*,*,*, Tech-support
19,*,*,*, Craft-repair
54,*,*,*, ?
39,*,*,*, Exec-managerial
49,*,*,*, Craft-repair
23,*,*,*, Protective-serv
20,*,*,*, Sales
45,*,*,*, Exec-managerial
30,*,*,*, Adm-clerical
22,*,*,*, Other-service
48,*,*,*, Machine-op-inspct
21,*,*,*, Machine-op-inspct
19,*,*,*, Adm-clerical
31,*,*,*, Sales
48,*,*,*, Prof-specialty
31,*,*,*, Machine-op-inspct
53,*,*,*, Prof-specialty
24,*,*,*, Tech-support
49,*,*,*, Adm-clerical
25,*,*,*, Handlers-cleaners
57,*,*,*, Prof-specialty
53,*,*,*, Machine-op-inspct
44,*,*,*, Exec-managerial
41,*,*,*, Craft-repair
29,*,*,*, Prof-specialty
25,*,*,*, Exec-managerial
18,*,*,*, Other-service
47,*,*,*, Prof-specialty
50,*,*,*, Exec-managerial
47,*,*,*, Exec-managerial
43,*,*,*, Tech-support
46,*,*,*, Machine-op-inspct
35,*,*,*, Other-service
41,*,*,*, Adm-clerical
30,*,*,*, Machine-op-inspct
30,*,*,*, Sales
32,*,*,*, ?
48,*,*,*, Transport-moving
42,*,*,*, Prof-specialty
29,*,*,*, Tech-support
36,*,*,*, Craft-repair
28,*,*,*, Adm-clerical
53,*,*,*, Adm-clerical
49,*,*,*, Exec-managerial
25,*,*,*, ?
19,*,*,*, Prof-specialty
31,*,*,*, Sales
29,*,*,*, Sales
23,*,*,*, Machine-op-inspct
79,*,*,*, Prof-specialty
27,*,*,*, Other-service
40,*,*,*, Adm-clerical
67,*,*,*, ?
18,*,*,*, Other-service
31,*,*,*, Farming-fishing
18,*,*,*, Sales
52,*,*,*, Other-service
46,*,*,*, Other-service
59,*,*,*, Sales
44,*,*,*, Craft-repair
53,*,*,*, Sales
49,*,*,*, Protective-serv
33,*,*,*, Prof-specialty
30,*,*,*, Sales
43,*,*,*, Prof-specialty
57,*,*,*, Prof-specialty
37,*,*,*, Craft-repair
28,*,*,*, Machine-op-inspct
30,*,*,*, Sales
34,*,*,*, Protective-serv
29,*,*,*, Handlers-cleaners
48,*,*,*, Prof-specialty
37,*,*,*, Sales
48,*,*,*, Exec-managerial
32,*,*,*, Other-service
76,*,*,*, Exec-managerial
44,*,*,*, Exec-managerial
47,*,*,*, Prof-specialty
20,*,*,*, Tech-support
29,*,*,*, Craft-repair
32,*,*,*, Craft-repair
17,*,*,*, ?
30,*,*,*, Handlers-cleaners
31,*,*,*, Adm-clerical
42,*,*,*, Handlers-cleaners
24,*,*,*, Sales
38,*,*,*, Prof-specialty
56,*,*,*, Other-service
28,*,*,*, Sales
36,*,*,*, Machine-op-inspct
53,*,*,*, Handlers-cleaners
56,*,*,*, Sales
49,*,*,*, Craft-repair
55,*,*,*, Sales
22,*,*,*, Craft-repair
21,*,*,*, Other-service
40,*,*,*, Exec-managerial
30,*,*,*, Exec-managerial
29,*,*,*, Prof-specialty
19,*,*,*, Other-service
47,*,*,*, Exec-managerial
20,*,*,*, Adm-clerical
31,*,*,*, Adm-clerical
35,*,*,*, ?
39,*,*,*, Craft-repair
28,*,*,*, Sales
24,*,*,*, Other-service
38,*,*,*, Craft-repair
37,*,*,*, Sales
46,*,*,*, Tech-support
38,*,*,*, Prof-specialty
43,*,*,*, Craft-repair
27,*,*,*, Adm-clerical
20,*,*,*, Sales
49,*,*,*, Craft-repair
61,*,*,*, Craft-repair
27,*,*,*, Sales
19,*,*,*, Other-service
45,*,*,*, Prof-specialty
70,*,*,*, Tech-support
31,*,*,*, Transport-moving
22,*,*,*, Other-service
36,*,*,*, Other-service
64,*,*,*, Craft-repair
43,*,*,*, ?
47,*,*,*, Adm-clerical
34,*,*,*, Adm-clerical
33,*,*,*, Exec-managerial
21,*,*,*, Craft-repair
52,*,*,*, ?
48,*,*,*, Craft-repair
23,*,*,*, Handlers-cleaners
71,*,*,*, Sales
29,*,*,*, Craft-repair
42,*,*,*, Other-service
68,*,*,*, ?
25,*,*,*, Other-service
44,*,*,*, Exec-managerial
28,*,*,*, Exec-managerial
45,*,*,*, Sales
36,*,*,*, Other-service
39,*,*,*, Exec-managerial
46,*,*,*, Protective-serv
18,*,*,*, Handlers-cleaners
66,*,*,*, Prof-specialty
27,*,*,*, Other-service
28,*,*,*, Protective-serv
51,*,*,*, Sales
27,*,*,*, Craft-repair
28,*,*,*, Prof-specialty
27,*,*,*, Sales
21,*,*,*, Craft-repair
34,*,*,*, Handlers-cleaners
18,*,*,*, Other-service
33,*,*,*, Prof-specialty
44,*,*,*, Exec-managerial
43,*,*,*, Adm-clerical
30,*,*,*, Craft-repair
40,*,*,*, Machine-op-inspct
37,*,*,*, Adm-clerical
34,*,*,*, Adm-clerical
41,*,*,*, Exec-managerial
53,*,*,*, ?
31,*,*,*, Prof-specialty
58,*,*,*, Prof-specialty
38,*,*,*, Machine-op-inspct
24,*,*,*, Machine-op-inspct
41,*,*,*, Craft-repair
47,*,*,*, Tech-support
41,*,*,*, Tech-support
23,*,*,*, Transport-moving
36,*,*,*, Craft-repair
40,*,*,*, Exec-managerial
35,*,*,*, Prof-specialty
24,*,*,*, Sales
26,*,*,*, Prof-specialty
19,*,*,*, ?
51,*,*,*, Exec-managerial
42,*,*,*, Prof-specialty
37,*,*,*, Adm-clerical
18,*,*,*, Sales
36,*,*,*, Other-service
35,*,*,*, Craft-repair
58,*,*,*, Sales
17,*,*,*, Sales
44,*,*,*, Transport-moving
37,*,*,*, Craft-repair
35,*,*,*, Sales
60,*,*,*, Craft-repair
54,*,*,*, Machine-op-inspct
37,*,*,*, Exec-managerial
50,*,*,*, Sales
38,*,*,*, Sales
45,*,*,*, Prof-specialty
25,*,*,*, Craft-repair
31,*,*,*, Handlers-cleaners
64,*,*,*, ?
90,*,*,*, Other-service
54,*,*,*, Adm-clerical
53,*,*,*, Machine-op-inspct
18,*,*,*, Sales
60,*,*,*, ?
66,*,*,*, Farming-fishing
75,*,*,*, Adm-clerical
65,*,*,*, Adm-clerical
35,*,*,*, Transport-moving
41,*,*,*, Sales
25,*,*,*, Adm-clerical
33,*,*,*, Craft-repair
28,*,*,*, Prof-specialty
59,*,*,*, Other-service
40,*,*,*, Adm-clerical
41,*,*,*, Exec-managerial
38,*,*,*, Exec-managerial
23,*,*,*, Transport-moving
40,*,*,*, Prof-specialty
41,*,*,*, Other-service
24,*,*,*, Protective-serv
20,*,*,*, ?
38,*,*,*, Craft-repair
56,*,*,*, Adm-clerical
58,*,*,*, Adm-clerical
32,*,*,*, Other-service
40,*,*,*, Tech-support
45,*,*,*, Adm-clerical
41,*,*,*, Prof-specialty
42,*,*,*, Adm-clerical
59,*,*,*, Other-service
19,*,*,*, Adm-clerical
58,*,*,*, Transport-moving
42,*,*,*, Farming-fishing
20,*,*,*, Other-service
32,*,*,*, Other-service
45,*,*,*, Exec-managerial
50,*,*,*, Craft-repair
36,*,*,*, Prof-specialty
45,*,*,*, Sales
17,*,*,*, Other-service
59,*,*,*, Sales
26,*,*,*, Craft-repair
37,*,*,*, Exec-managerial
19,*,*,*, ?
64,*,*,*, Exec-managerial
33,*,*,*, Prof-specialty
33,*,*,*, Craft-repair
61,*,*,*, Exec-managerial
17,*,*,*, Other-service
50,*,*,*, Farming-fishing
27,*,*,*, Prof-specialty
30,*,*,*, Prof-specialty
43,*,*,*, Handlers-cleaners
44,*,*,*, Craft-repair
35,*,*,*, Exec-managerial
25,*,*,*, Tech-support
24,*,*,*, Machine-op-inspct
22,*,*,*, Prof-specialty
42,*,*,*, Craft-repair
34,*,*,*, Sales
60,*,*,*, Prof-specialty
21,*,*,*, Handlers-cleaners
57,*,*,*, Sales
41,*,*,*, Prof-specialty
50,*,*,*, Other-service
25,*,*,*, Exec-managerial
50,*,*,*, Craft-repair
36,*,*,*, Prof-specialty
31,*,*,*, Prof-specialty
29,*,*,*, Protective-serv
21,*,*,*, Sales
27,*,*,*, Tech-support
65,*,*,*, Transport-moving
37,*,*,*, Sales
39,*,*,*, ?
24,*,*,*, Craft-repair
38,*,*,*, Sales
48,*,*,*, Adm-clerical
21,*,*,*, Other-service
31,*,*,*, Transport-moving
55,*,*,*, Sales
24,*,*,*, Adm-clerical
43,*,*,*, Adm-clerical
26,*,*,*, Tech-support
46,*,*,*, Prof-specialty
35,*,*,*, Adm-clerical
41,*,*,*, Farming-fishing
26,*,*,*, Sales
34,*,*,*, Exec-managerial
19,*,*,*, ?
36,*,*,*, Prof-specialty
22,*,*,*, Sales
24,*,*,*, Machine-op-inspct
77,*,*,*, Sales
22,*,*,*, Machine-op-inspct
29,*,*,*, Tech-support
62,*,*,*, Other-service
39,*,*,*, Exec-managerial
43,*,*,*, Craft-repair
35,*,*,*, Transport-moving
29,*,*,*, Exec-managerial
76,*,*,*, Craft-repair
63,*,*,*, Farming-fishing
23,*,*,*, ?
43,*,*,*, Prof-specialty
58,*,*,*, Handlers-cleaners
66,*,*,*, Transport-moving
41,*,*,*, Craft-repair
26,*,*,*, Adm-clerical
47,*,*,*, Other-service
55,*,*,*, Adm-clerical
53,*,*,*, Transport-moving
17,*,*,*, Other-service
30,*,*,*, Craft-repair
49,*,*,*, Prof-specialty
19,*,*,*, Sales
45,*,*,*, Other-service
26,*,*,*, Sales
38,*,*,*, Craft-repair
36,*,*,*, Protective-serv
33,*,*,*, Farming-fishing
22,*,*,*, Protective-serv
43,*,*,*, Sales
67,*,*,*, ?
30,*,*,*, ?
56,*,*,*, Other-service
31,*,*,*, Prof-specialty
33,*,*,*, Exec-managerial
26,*,*,*, Other-service
33,*,*,*, Exec-managerial
46,*,*,*, Transport-moving
59,*,*,*, ?
38,*,*,*, Adm-clerical
65,*,*,*, Other-service
40,*,*,*, Tech-support
42,*,*,*, Adm-clerical
26,*,*,*, Craft-repair
36,*,*,*, Other-service
62,*,*,*, Prof-specialty
43,*,*,*, Transport-moving
43,*,*,*, Exec-managerial
22,*,*,*, Sales
28,*,*,*, Craft-repair
56,*,*,*, Sales
22,*,*,*, Sales
57,*,*,*, Exec-managerial
39,*,*,*, Sales
26,*,*,*, Adm-clerical
17,*,*,*, Other-service
40,*,*,*, Machine-op-inspct
45,*,*,*, Machine-op-inspct
44,*,*,*, Craft-repair
20,*,*,*, Adm-clerical
33,*,*,*, Craft-repair
23,*,*,*, Sales
46,*,*,*, Exec-managerial
38,*,*,*, Sales
54,*,*,*, Transport-moving
46,*,*,*, Craft-repair
25,*,*,*, Craft-repair
46,*,*,*, Sales
36,*,*,*, Transport-moving
23,*,*,*, Other-service
29,*,*,*, Machine-op-inspct
44,*,*,*, Adm-clerical
19,*,*,*, Adm-clerical
19,*,*,*, Other-service
35,*,*,*, Other-service
27,*,*,*, Craft-repair
46,*,*,*, Craft-repair
34,*,*,*, Exec-managerial
34,*,*,*, Other-service
44,*,*,*, Tech-support
45,*,*,*, Handlers-cleaners
20,*,*,*, ?
25,*,*,*, Exec-managerial
52,*,*,*, Exec-managerial
20,*,*,*, Handlers-cleaners
28,*,*,*, Other-service
50,*,*,*, Protective-serv
34,*,*,*, Tech-support
28,*,*,*, Handlers-cleaners
41,*,*,*, Exec-managerial
28,*,*,*, Adm-clerical
46,*,*,*, Craft-repair
28,*,*,*, ?
32,*,*,*, Exec-managerial
