age,gender,race,marital_status,occupation
35-39, Male,*, Never-married, Adm-clerical
50-54, Male,*, Married-civ-spouse, Exec-managerial
35-39, Male,*, Divorced, Handlers-cleaners
50-54, Male,*, Married-civ-spouse, Handlers-cleaners
25-29, Female,*, Married-civ-spouse, Prof-specialty
35-39, Female,*, Married-civ-spouse, Exec-managerial
45-49, Female,*, Married-spouse-absent, Other-service
50-54, Male,*, Married-civ-spouse, Exec-managerial
30-34, Female,*, Never-married, Prof-specialty
40-44, Male,*, Married-civ-spouse, Exec-managerial
35-39, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Married-civ-spouse, Prof-specialty
20-24, Female,*, Never-married, Adm-clerical
30-34, Male,*, Never-married, Sales
40-44, Male,*, Married-civ-spouse, Craft-repair
30-34, Male,*, Married-civ-spouse, Transport-moving
25-29, Male,*, Never-married, Farming-fishing
30-34, Male,*, Never-married, Machine-op-inspct
35-39, Male,*, Married-civ-spouse, Sales
40-44, Female,*, Divorced, Exec-managerial
40-44, Male,*, Married-civ-spouse, Prof-specialty
50-54, Female,*, Separated, Other-service
35-39, Male,*, Married-civ-spouse, Farming-fishing
40-44, Male,*, Married-civ-spouse, Transport-moving
55-59, Female,*, Divorced, Tech-support
55-59, Male,*, Married-civ-spouse, Tech-support
15-19, Male,*, Never-married, Craft-repair
50-54, Male,*, Married-civ-spouse, ?
35-39, Male,*, Divorced, Exec-managerial
45-49, Male,*, Married-civ-spouse, Craft-repair
20-24, Male,*, Never-married, Protective-serv
20-24, Male,*, Never-married, Sales
45-49, Male,*, Divorced, Exec-managerial
30-34, Male,*, Married-civ-spouse, Adm-clerical
20-24, Male,*, Married-civ-spouse, Other-service
45-49, Male,*, Never-married, Machine-op-inspct
20-24, Male,*, Never-married, Machine-op-inspct
30-34, Male,*, Married-civ-spouse, Sales
45-49, Male,*, Married-civ-spouse, Prof-specialty
30-34, Male,*, Married-civ-spouse, Machine-op-inspct
50-54, Male,*, Married-civ-spouse, Prof-specialty
20-24, Male,*, Married-civ-spouse, Tech-support
45-49, Female,*, Separated, Adm-clerical
25-29, Male,*, Never-married, Handlers-cleaners
55-59, Male,*, Married-civ-spouse, Prof-specialty
50-54, Male,*, Married-civ-spouse, Machine-op-inspct
40-44, Female,*, Divorced, Exec-managerial
40-44, Male,*, Married-civ-spouse, Craft-repair
25-29, Male,*, Never-married, Prof-specialty
25-29, Female,*, Married-civ-spouse, Exec-managerial
15-19, Female,*, Never-married, Other-service
45-49, Female,*, Married-civ-spouse, Prof-specialty
50-54, Male,*, Divorced, Exec-managerial
45-49, Male,*, Divorced, Exec-managerial
40-44, Male,*, Married-civ-spouse, Tech-support
45-49, Male,*, Married-civ-spouse, Machine-op-inspct
35-39, Male,*, Married-civ-spouse, Other-service
40-44, Male,*, Married-civ-spouse, Adm-clerical
30-34, Male,*, Married-civ-spouse, Machine-op-inspct
30-34, Male,*, Married-civ-spouse, Sales
30-34, Male,*, Married-spouse-absent, ?
45-49, Male,*, Married-civ-spouse, Transport-moving
40-44, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Divorced, Tech-support
35-39, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Divorced, Adm-clerical
50-54, Female,*, Married-civ-spouse, Adm-clerical
45-49, Male,*, Married-civ-spouse, Exec-managerial
25-29, Male,*, Never-married, ?
15-19, Male,*, Never-married, Prof-specialty
30-34, Female,*, Separated, Sales
25-29, Male,*, Married-civ-spouse, Sales
20-24, Male,*, Never-married, Machine-op-inspct
75-79, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Adm-clerical
65-69, Male,*, Married-civ-spouse, ?
15-19, Female,*, Never-married, Other-service
30-34, Male,*, Married-civ-spouse, Farming-fishing
15-19, Male,*, Never-married, Sales
50-54, Male,*, Married-civ-spouse, Other-service
45-49, Female,*, Married-civ-spouse, Other-service
55-59, Male,*, Married-civ-spouse, Sales
40-44, Female,*, Divorced, Craft-repair
50-54, Female,*, Divorced, Sales
45-49, Male,*, Married-civ-spouse, Protective-serv
30-34, Male,*, Married-civ-spouse, Prof-specialty
30-34, Male,*, Never-married, Sales
40-44, Female,*, Never-married, Prof-specialty
55-59, Male,*, Married-civ-spouse, Prof-specialty
35-39, Female,*, Divorced, Craft-repair
25-29, Female,*, Divorced, Machine-op-inspct
30-34, Female,*, Married-civ-spouse, Sales
30-34, Male,*, Married-civ-spouse, Protective-serv
25-29, Male,*, Never-married, Handlers-cleaners
45-49, Male,*, Married-civ-spouse, Prof-specialty
35-39, Male,*, Married-civ-spouse, Sales
45-49, Female,*, Divorced, Exec-managerial
30-34, Male,*, Never-married, Other-service
75-79, Male,*, Married-civ-spouse, Exec-managerial
40-44, Male,*, Married-civ-spouse, Exec-managerial
45-49, Female,*, Never-married, Prof-specialty
20-24, Female,*, Never-married, Tech-support
25-29, Male,*, Never-married, Craft-repair
30-34, Male,*, Married-civ-spouse, Craft-repair
15-19, Female,*, Never-married, ?
30-34, Male,*, Never-married, Handlers-cleaners
30-34, Female,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Handlers-cleaners
20-24, Male,*, Never-married, Sales
35-39, Male,*, Married-civ-spouse, Prof-specialty
55-59, Male,*, Married-civ-spouse, Other-service
25-29, Female,*, Married-civ-spouse, Sales
35-39, Female,*, Never-married, Machine-op-inspct
50-54, Male,*, Married-civ-spouse, Handlers-cleaners
55-59, Male,*, Married-civ-spouse, Sales
45-49, Male,*, Married-civ-spouse, Craft-repair
55-59, Male,*, Married-civ-spouse, Sales
20-24, Male,*, Never-married, Craft-repair
20-24, Female,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Never-married, Exec-managerial
25-29, Male,*, Married-civ-spouse, Prof-specialty
15-19, Male,*, Never-married, Other-service
45-49, Female,*, Married-civ-spouse, Exec-managerial
20-24, Female,*, Never-married, Adm-clerical
30-34, Male,*, Married-civ-spouse, Adm-clerical
35-39, Male,*, Married-civ-spouse, ?
35-39, Male,*, Divorced, Craft-repair
25-29, Female,*, Never-married, Sales
20-24, Female,*, Never-married, Other-service
35-39, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Sales
45-49, Female,*, Divorced, Tech-support
35-39, Male,*, Married-civ-spouse, Prof-specialty
40-44, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Married-civ-spouse, Adm-clerical
20-24, Male,*, Never-married, Sales
45-49, Male,*, Married-civ-spouse, Craft-repair
60-64, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Never-married, Sales
15-19, Male,*, Never-married, Other-service
45-49, Female,*, Never-married, Prof-specialty
30-34, Female,*, Never-married, Transport-moving
20-24, Male,*, Married-civ-spouse, Other-service
35-39, Female,*, Widowed, Other-service
60-64, Male,*, Married-civ-spouse, Craft-repair
40-44, Female,*, Divorced, ?
45-49, Female,*, Divorced, Adm-clerical
30-34, Female,*, Never-married, Adm-clerical
30-34, Female,*, Never-married, Exec-managerial
20-24, Male,*, Never-married, Craft-repair
50-54, Male,*, Divorced, ?
45-49, Male,*, Married-civ-spouse, Craft-repair
20-24, Male,*, Never-married, Handlers-cleaners
25-29, Male,*, Divorced, Craft-repair
40-44, Male,*, Separated, Other-service
65-69, Female,*, Divorced, ?
25-29, Female,*, Never-married, Other-service
40-44, Female,*, Divorced, Exec-managerial
25-29, Female,*, Never-married, Exec-managerial
45-49, Male,*, Married-civ-spouse, Sales
35-39, Female,*, Divorced, Other-service
35-39, Male,*, Never-married, Exec-managerial
45-49, Male,*, Widowed, Protective-serv
15-19, Male,*, Never-married, Handlers-cleaners
65-69, Female,*, Widowed, Prof-specialty
25-29, Male,*, Never-married, Other-service
25-29, Male,*, Married-civ-spouse, Protective-serv
50-54, Male,*, Married-civ-spouse, Sales
25-29, Male,*, Never-married, Craft-repair
25-29, Male,*, Married-civ-spouse, Prof-specialty
25-29, Female,*, Married-spouse-absent, Sales
20-24, Male,*, Never-married, Craft-repair
30-34, Male,*, Never-married, Handlers-cleaners
15-19, Male,*, Never-married, Other-service
30-34, Male,*, Married-civ-spouse, Prof-specialty
40-44, Male,*, Married-civ-spouse, Exec-managerial
40-44, Female,*, Divorced, Adm-clerical
30-34, Male,*, Never-married, Craft-repair
40-44, Male,*, Married-civ-spouse, Machine-op-inspct
35-39, Male,*, Married-civ-spouse, Adm-clerical
30-34, Male,*, Married-civ-spouse, Adm-clerical
40-44, Female,*, Divorced, Exec-managerial
50-54, Female,*, Divorced, ?
30-34, Female,*, Married-civ-spouse, Prof-specialty
55-59, Male,*, Married-civ-spouse, Prof-specialty
35-39, Female,*, Divorced, Machine-op-inspct
20-24, Male,*, Married-civ-spouse, Machine-op-inspct
40-44, Male,*, Married-civ-spouse, Craft-repair
45-49, Male,*, Married-civ-spouse, Tech-support
40-44, Male,*, Married-civ-spouse, Tech-support
20-24, Male,*, Married-civ-spouse, Transport-moving
35-39, Male,*, Divorced, Craft-repair
40-44, Female,*, Never-married, Exec-managerial
35-39, Male,*, Married-civ-spouse, Prof-specialty
20-24, Male,*, Never-married, Sales
25-29, Female,*, Never-married, Prof-specialty
15-19, Male,*, Never-married, ?
50-54, Male,*, Married-civ-spouse, Exec-managerial
40-44, Female,*, Never-married, Prof-specialty
35-39, Female,*, Divorced, Adm-clerical
15-19, Female,*, Never-married, Sales
35-39, Male,*, Married-civ-spouse, Other-service
35-39, Male,*, Divorced, Craft-repair
55-59, Female,*, Married-civ-spouse, Sales
15-19, Female,*, Never-married, Sales
40-44, Male,*, Married-civ-spouse, Transport-moving
35-39, Male,*, Married-civ-spouse, Craft-repair
35-39, Female,*, Never-married, Sales
60-64, Male,*, Married-civ-spouse, Craft-repair
50-54, Male,*, Married-civ-spouse, Machine-op-inspct
35-39, Male,*, Never-married, Exec-managerial
50-54, Female,*, Divorced, Sales
35-39, Male,*, Married-civ-spouse, Sales
45-49, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Never-married, Craft-repair
30-34, Male,*, Married-civ-spouse, Handlers-cleaners
60-64, Male,*, Divorced, ?
50-54, Male,*, Married-civ-spouse, Adm-clerical
