age,gender,race,marital_status,occupation
39, Male,*,*, Adm-clerical
50, Male,*,*, Exec-managerial
38, Male,*,*, Handlers-cleaners
53, Male,*,*, Handlers-cleaners
28, Female,*,*, Prof-specialty
37, Female,*,*, Exec-managerial
49, Female,*,*, Other-service
52, Male,*,*, Exec-managerial
31, Female,*,*, Prof-specialty
42, Male,*,*, Exec-managerial
37, Male,*,*, Exec-managerial
30, Male,*,*, Prof-specialty
23, Female,*,*, Adm-clerical
32, Male,*,*, Sales
40, Male,*,*, Craft-repair
34, Male,*,*, Transport-moving
25, Male,*,*, Farming-fishing
32, Male,*,*, Machine-op-inspct
38, Male,*,*, Sales
43, Female,*,*, Exec-managerial
40, Male,*,*, Prof-specialty
54, Female,*,*, Other-service
35, Male,*,*, Farming-fishing
43, Male,*,*, Transport-moving
59, Female,*,*, Tech-support
56, Male,*,*, Tech-support
19, Male,*,*, Craft-repair
54, Male,*,*, ?
39, Male,*,*, Exec-managerial
49, Male,*,*, Craft-repair
23, Male,*,*, Protective-serv
20, Male,*,*, Sales
45, Male,*,*, Exec-managerial
30, Male,*,*, Adm-clerical
22, Male,*,*, Other-service
48, Male,*,*, Machine-op-inspct
21, Male,*,*, Machine-op-inspct
19, Female,*,*, Adm-clerical
31, Male,*,*, Sales
48, Male,*,*, Prof-specialty
31, Male,*,*, Machine-op-inspct
53, Male,*,*, Prof-specialty
24, Male,*,*, Tech-support
49, Female,*,*, Adm-clerical
25, Male,*,*, Handlers-cleaners
57, Male,*,*, Prof-specialty
53, Male,*,*, Machine-op-inspct
44, Female,*,*, Exec-managerial
41, Male,*,*, Craft-repair
29, Male,*,*, Prof-specialty
25, Female,*,*, Exec-managerial
18, Female,*,*, Other-service
47, Female,*,*, Prof-specialty
50, Male,*,*, Exec-managerial
47, Male,*,*, Exec-managerial
43, Male,*,*, Tech-support
46, Male,*,*, Machine-op-inspct
35, Male,*,*, Other-service
41, Male,*,*, Adm-clerical
30, Male,*,*, Machine-op-inspct
30, Male,*,*, Sales
32, Male,*,*, ?
48, Male,*,*, Transport-moving
42, Male,*,*, Prof-specialty
29, Male,*,*, Tech-support
36, Male,*,*, Craft-repair
28, Female,*,*, Adm-clerical
53, Female,*,*, Adm-clerical
49, Male,*,*, Exec-managerial
25, Male,*,*, ?
19, Male,*,*, Prof-specialty
31, Female,*,*, Sales
29, Male,*,*, Sales
23, Male,*,*, Machine-op-inspct
27, Male,*,*, Other-service
40, Male,*,*, Adm-clerical
67, Male,*,*, ?
18, Female,*,*, Other-service
31, Male,*,*, Farming-fishing
18, Male,*,*, Sales
52, Male,*,*, Other-service
46, Female,*,*, Other-service
59, Male,*,*, Sales
44, Female,*,*, Craft-repair
53, Female,*,*, Sales
49, Male,*,*, Protective-serv
33, Male,*,*, Prof-specialty
30, Male,*,*, Sales
43, Female,*,*, Prof-specialty
57, Male,*,*, Prof-specialty
37, Female,*,*, Craft-repair
28, Female,*,*, Machine-op-inspct
30, Female,*,*, Sales
34, Male,*,*, Protective-serv
29, Male,*,*, Handlers-cleaners
48, Male,*,*, Prof-specialty
37, Male,*,*, Sales
48, Female,*,*, Exec-managerial
32, Male,*,*, Other-service
76, Male,*,*, Exec-managerial
44, Male,*,*, Exec-managerial
47, Female,*,*, Prof-specialty
20, Female,*,*, Tech-support
29, Male,*,*, Craft-repair
32, Male,*,*, Craft-repair
17, Female,*,*, ?
30, Male,*,*, Handlers-cleaners
31, Female,*,*, Adm-clerical
42, Male,*,*, Handlers-cleaners
24, Male,*,*, Sales
38, Male,*,*, Prof-specialty
56, Male,*,*, Other-service
28, Female,*,*, Sales
36, Female,*,*, Machine-op-inspct
53, Male,*,*, Handlers-cleaners
56, Male,*,*, Sales
49, Male,*,*, Craft-repair
55, Male,*,*, Sales
22, Male,*,*, Craft-repair
21, Female,*,*, Other-service
40, Male,*,*, Exec-managerial
30, Male,*,*, Exec-managerial
29, Male,*,*, Prof-specialty
19, Male,*,*, Other-service
47, Female,*,*, Exec-managerial
20, Female,*,*, Adm-clerical
31, Male,*,*, Adm-clerical
35, Male,*,*, ?
39, Male,*,*, Craft-repair
28, Female,*,*, Sales
24, Female,*,*, Other-service
38, Male,*,*, Craft-repair
37, Male,*,*, Sales
46, Female,*,*, Tech-support
38, Male,*,*, Prof-specialty
43, Male,*,*, Craft-repair
27, Female,*,*, Adm-clerical
20, Male,*,*, Sales
49, Male,*,*, Craft-repair
61, Male,*,*, Craft-repair
27, Female,*,*, Sales
19, Male,*,*, Other-service
45, Female,*,*, Prof-specialty
70, Male,*,*, Tech-support
31, Female,*,*, Transport-moving
22, Male,*,*, Other-service
36, Female,*,*, Other-service
64, Male,*,*, Craft-repair
43, Female,*,*, ?
47, Female,*,*, Adm-clerical
34, Female,*,*, Adm-clerical
33, Female,*,*, Exec-managerial
21, Male,*,*, Craft-repair
52, Male,*,*, ?
48, Male,*,*, Craft-repair
23, Male,*,*, Handlers-cleaners
71, Male,*,*, Sales
29, Male,*,*, Craft-repair
42, Male,*,*, Other-service
68, Female,*,*, ?
25, Female,*,*, Other-service
44, Female,*,*, Exec-managerial
28, Female,*,*, Exec-managerial
45, Male,*,*, Sales
36, Female,*,*, Other-service
39, Male,*,*, Exec-managerial
46, Male,*,*, Protective-serv
18, Male,*,*, Handlers-cleaners
66, Female,*,*, Prof-specialty
27, Male,*,*, Other-service
28, Male,*,*, Protective-serv
51, Male,*,*, Sales
27, Male,*,*, Craft-repair
28, Male,*,*, Prof-specialty
27, Female,*,*, Sales
21, Male,*,*, Craft-repair
34, Male,*,*, Handlers-cleaners
18, Male,*,*, Other-service
33, Male,*,*, Prof-specialty
44, Male,*,*, Exec-managerial
43, Female,*,*, Adm-clerical
30, Male,*,*, Craft-repair
40, Male,*,*, Machine-op-inspct
37, Male,*,*, Adm-clerical
34, Male,*,*, Adm-clerical
41, Female,*,*, Exec-managerial
53, Female,*,*, ?
31, Female,*,*, Prof-specialty
58, Male,*,*, Prof-specialty
38, Female,*,*, Machine-op-inspct
24, Male,*,*, Machine-op-inspct
41, Male,*,*, Craft-repair
47, Male,*,*, Tech-support
41, Male,*,*, Tech-support
23, Male,*,*, Transport-moving
36, Male,*,*, Craft-repair
40, Female,*,*, Exec-managerial
35, Male,*,*, Prof-specialty
24, Male,*,*, Sales
26, Female,*,*, Prof-specialty
19, Male,*,*, ?
51, Male,*,*, Exec-managerial
42, Female,*,*, Prof-specialty
37, Female,*,*, Adm-clerical
18, Female,*,*, Sales
36, Male,*,*, Other-service
35, Male,*,*, Craft-repair
58, Female,*,*, Sales
17, Female,*,*, Sales
44, Male,*,*, Transport-moving
37, Male,*,*, Craft-repair
35, Female,*,*, Sales
60, Male,*,*, Craft-repair
54, Male,*,*, Machine-op-inspct
37, Male,*,*, Exec-managerial
50, Female,*,*, Sales
38, Male,*,*, Sales
45, Male,*,*, Prof-specialty
25, Male,*,*, Craft-repair
31, Male,*,*, Handlers-cleaners
64, Male,*,*, ?
90, Male,*,*, Other-service
54, Male,*,*, Adm-clerical
53, Female,*,*, Machine-op-inspct
18, Female,*,*, Sales
60, Female,*,*, ?
